Months,Average Property Price ,Semi-Detached,Detached ,Townhouse,Flat,Other
January 2022,932739,1003,370,2090,3789,485
February 2022,769052,1163,376,2226,4601,547
March 2022,848813,1355,431,2546,5858,671
April 2022,933414,1069,407,2274,4772,578
May 2022,848276,1214,417,2374,4906,537
June 2022,867242,1245,409,2312,5849,547
July 2022,865982,1491,487,2857,5784,555
August 2022,893868,1426,466,2869,5910,512
September 2022,853961,1433,490,2738,6131,567
October 2022,775063,1412,451,2552,5829,514
November 2022,780695,1368,431,2544,6099,524
December 2022,797388,1155,374,2245,5833,497
January 2023,833404,933,330,1721,4286,398
February 2023,733154,864,302,1607,4082,410
March 2023,910507,1066,385,1972,5228,659
April 2023,838599,779,246,1483,3080,354
May 2023,851994,851,279,1633,3489,387
June 2023,1029886,1059,402,2072,4211,477
July 2023,778840,1115,319,2150,4178,457
August 2023,851033,1268,430,2449,4515,455
September 2023,851937,1145,366,2308,4978,427
October 2023,807815,1129,325,1992,4438,432
November 2023,812020,997,343,1945,4264,466
December 2023,867795,926,295,1773,3937,511
January 2024,861530,880,302,1776,3288,380
February 2024,775837,925,268,1802,3763,411
March 2024,855772,1031,325,1884,4267,488
April 2024,874729,951,328,1882,3885,487
May 2024,867973,1211,371,2253,4292,503
June 2024,766459,1061,363,1976,4130,447
July 2024,787962,1374,464,2661,4531,464
August 2024,788164,1501,467,2656,4804,425
September 2024,833024,1240,360,2342,4381,439
October 2024,761607,1424,445,2693,5258,485
November 2024,716753,1227,317,2221,4075,311
December 2024,763370,923,268,1937,3503,254