Months,Average Property Price ,Shoplifting ,Burglary ,Violence and sexual offences,Robbery,Anti-social behaviour,Criminal damage and arson,Theft from the person,Bicycle Theft,Drugs,Public order,Possession of weapons,Vehicle crime,Other theft,Other crime
Jan-23,833404,64,22,110,13,56,22,94,6,63,60,8,25,159,17
Feb-23,733154,70,21,117,15,88,22,109,11,64,54,6,14,165,27
Mar-23,910507,61,25,142,11,38,23,117,15,54,35,4,16,151,17
Apr-23,838599,70,33,126,17,37,23,122,17,52,55,4,12,147,23
May-23,851994,54,28,113,14,46,22,134,26,51,39,5,16,214,12
Jun-23,1029886,63,36,150,14,26,19,105,25,45,42,7,11,205,11
Jul-23,778840,79,24,143,9,18,36,94,17,47,59,12,6,168,14
Aug-23,851033,102,35,127,11,5,27,101,27,54,59,8,18,182,9
Sep-23,851937,108,29,130,19,5,31,103,17,53,38,12,25,194,20
Oct-23,807815,124,31,134,16,19,37,85,24,58,55,13,8,226,21
Nov-23,812020,129,29,161,17,19,30,124,18,38,45,4,5,204,24
Dec-23,867795,80,23,177,15,20,34,146,22,42,58,9,7,191,19
Jan-24,861530,130,31,125,15,12,31,97,23,41,46,6,12,144,21
Feb-24,775837,134,30,119,10,35,30,134,17,38,57,5,15,188,14
Mar-24,855772,105,27,116,20,52,33,95,22,58,54,5,7,149,14
Apr-24,874729,172,27,170,17,38,39,160,19,55,54,6,10,151,8
May-24,867973,143,29,135,16,53,31,164,24,60,61,6,14,190,18
Jun-24,766459,162,25,137,12,33,44,129,17,41,50,9,11,163,13
Jul-24,787962,161,29,161,18,40,44,108,26,35,82,7,14,162,11
Aug-24,788164,119,25,174,6,58,45,103,18,49,75,5,9,133,7
Sep-24,833024,106,32,113,21,28,29,113,20,33,53,9,7,172,11
Oct-24,761607,136,31,170,14,35,28,154,30,39,61,6,12,173,12
Nov-24,716753,118,21,133,16,11,20,141,10,52,60,10,5,203,21
Dec-24,763370,116,26,184,21,3,19,105,12,30,48,5,7,175,14